season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,Notre Dame College,Ohio Dominican,23,21,,,False,Mountain East,Great Midwest Athletic,Mueller Field
2023,1,Capital,Denison University,35,45,,,False,Ohio,North Coast,Bernlohr Stadium
2023,1,Marietta,St John Fisher University,31,7,,,False,Ohio,Empire 8,Don Drumm Stadium
2023,1,Guilford College,Greensboro College,36,21,,,False,Old Dominion,USA South,Armfield Athletic Center
2023,1,LYONCOLL,Grinnell,18,12,,,True,,Midwest,
2023,1,Michigan,East Carolina,30,3,,,False,Big Ten,American Athletic,Michigan Stadium
2023,1,Cortland,Delaware Valley,42,13,,,False,Empire 8,Mid Atlantic,Stadium Red Field
2023,1,Kalamazoo,Oberlin,42,10,,,False,Michigan,North Coast,Angell Field
2023,1,Keystone,Gallaudet,27,6,,,False,Landmark Conference,ECFC,Athletic Field Complex
2023,1,Alma,Ohio Northern,52,7,,,False,Michigan,Ohio,Bahlke Field
2023,1,Shepherd,Southern Connecticut State,27,26,,,False,Pennsylvania State Athletic,Northeast 10,Ram Stadium (WV)
2023,1,Western Connecticut St,Merchant Marine Academy,35,52,,,False,MSCAC,NEWMAC,Westside Athletic Complex
2023,1,Shippensburg,Newberry,10,14,,,False,Pennsylvania State Athletic,South Atlantic,Seth Grove Stadium
2023,1,Davenport,Thomas More College,31,17,,,False,GLIAC,,Farmers Insurance Athletic Complex
2023,1,Otterbein,Ohio Wesleyan,21,35,,,False,Ohio,North Coast,"Memorial Stadium (Westerville, OH)"
2023,1,Tennessee,Virginia,49,13,,,True,SEC,ACC,Nissan Stadium
2023,1,Purdue,Fresno State,35,39,,,False,Big Ten,Mountain West,Ross-Ade Stadium
2023,1,Hilbert College,Union (NY),0,65,,,True,North Coast,Liberty League,St. Francis High School
2023,1,Iowa,Utah State,24,14,,,False,Big Ten,Mountain West,Kinnick Stadium
2023,1,College Of New Jersey,Eastern University,41,21,,,False,New Jersey,Mid Atlantic,Lions Stadium
2023,1,Kean,SUNY Morrisville,14,24,,,False,New Jersey,Empire 8,Kean Alumni Stadium
2023,1,Assumption,Kutztown University,31,20,,,False,Northeast 10,Pennsylvania State Athletic,Multi-Sport Stadium
2023,1,TCU,Colorado,42,45,,,False,Big 12,Pac-12,Amon G. Carter Stadium
2023,1,University of Rochester (NY),Utica,17,20,,,False,Liberty League,Empire 8,Edwin Fauver Stadium
2023,1,Kentucky,Ball State,44,14,,,False,SEC,Mid-American,Kroger Field
2023,1,North Carolina Wesleyan,Randolph-Macon,9,51,,,False,USA South,Old Dominion,Bishop Stadium
2023,1,SMU,Louisiana Tech,38,14,,,False,American Athletic,Conference USA,Gerald J. Ford Stadium
2023,1,MIT,Bridgewater State,41,27,,,False,NEWMAC,MSCAC,Henry G. Steinbrenner '27 Stadium
2023,1,Tiffin,McKendree,79,14,,,False,Great Midwest Athletic,Great Lakes,Frost-Kalnow Stadium
2023,1,Bentley,West Chester,19,20,,,False,Northeast 10,Pennsylvania State Athletic,Bentley University Football Stadium
2023,1,Endicott College,St. Lawrence,31,0,,,False,Commonwealth Coast,Liberty League,Hempstead Stadium
2023,1,Oklahoma,Arkansas State,73,0,,,False,Big 12,Sun Belt,"Memorial Stadium (Norman, OK)"
2023,1,Wilkes,Kings College (PA),23,27,,,False,Landmark Conference,Mid Atlantic,Schmidt Stadium
2023,1,Johns Hopkins University,Ithaca College,27,17,,,False,Centennial,Liberty League,Homewood Field
2023,1,Liberty,Bowling Green,34,24,,,False,Conference USA,Mid-American,Williams Stadium (VA)
2023,1,Boston College,Northern Illinois,24,27,,,False,ACC,Mid-American,"Alumni Stadium (Chestnut Hill, MA)"
2023,1,Dean College,Fitchburg State,33,17,,,False,ECFC,MSCAC,Dale Lippert Field
2023,1,Georgetown,Marist,49,7,,,False,Patriot,Pioneer,Cooper Field
2023,1,Saint John's (MN),Trinity University TX,34,31,,,False,Minnesota,Southern Athletic,Clemens Stadium
2023,1,Widener,Lycoming,42,21,,,False,Mid Atlantic,Landmark Conference,Leslie C. Quick Jr. Stadium
2023,1,Misericordia,Alfred State,14,24,,,False,Mid Atlantic,ECFC,Mangelsdorf Field
